Python;SERVIMED;'7896422504355;OMEPRAZOL 20 MG 7 CAPS G;2024-12-13 09:11:28;RJ;SERVIMED;1;308;77;17,19;0,1231;1,95;15,469999999999999
Python;SERVIMED;'7896422503617;CLARITROMICINA 500 MG 14 CP GA;2024-12-13 09:11:28;RJ;SERVIMED;0;0;77;115,09;0,40740000000000004;8,790000000000001;69,94
Python;SERVIMED;'7896090611508;SONRISAL EFERV 5 X 2 CP S;2024-12-13 09:11:28;RJ;SERVIMED;0;0;48;11,71;0,05;1,6300000000000001;11,600000000000001
Python;SERVIMED;'20800750165;METAMUCIL LARANJA SACHE 10 ENV T;2024-12-13 09:11:28;RJ;SERVIMED;0;0;96;51,1;0,07;6,93;49,54
Python;SERVIMED;'7896261000520;LIORESAL 10 MG 20 CP R;2024-12-13 09:11:28;RJ;SERVIMED;0;0;100;45,0;0,0;7,03;47,38
Python;SERVIMED;'7894916500425;NEUTROFER FOLICO 150/5 MCG 30 CP T;2024-12-13 09:11:28;RJ;SERVIMED;0;0;120;37,13;0,0;5,41;38,7
Python;SERVIMED;'7897316802335;STILL COLIRIO 5 ML T;2024-12-13 09:11:28;RJ;SERVIMED;0;0;60;16,68;0,0;2,61;17,57
Python;SERVIMED;'7896006201618;MICROVLAR 21 DR T;2024-12-13 09:11:28;RJ;SERVIMED;0;0;100;8,120000000000001;0,03;1,23;8,290000000000001
Python;SERVIMED;'7896112486787;ARADOIS 50 MG 30 CP S;2024-12-13 09:11:28;RJ;SERVIMED;0;0;48;43,13;0,05;6,4;43,14
Python;SERVIMED;'7896422505390;PARACETAMOL 200MG/ML GTS 15 ML G;2024-12-13 09:11:28;RJ;SERVIMED;0;0;48;15,71;0,58;0,79;6,71
Python;SERVIMED;'7891721014239;EUTHYROX 100 MCG 50 CP S;2024-12-13 09:11:28;RJ;SERVIMED;1;435;110;37,4;0,03;5,67;38,2
Python;SERVIMED;'7894916550116;TENADREN 40/25 MG 30 CP T;2024-12-13 09:11:28;RJ;SERVIMED;0;0;48;11,9;0,0;1,86;12,53
Python;SERVIMED;'7896658002939;NOVAMOX 2X 875 MG 20 CP SA;2024-12-13 09:11:28;RJ;SERVIMED;0;0;140;131,85;0,05;19,56;131,87
Python;SERVIMED;'7896658000379;FAMOX 20 MG 10 CP S;2024-12-13 09:11:28;RJ;SERVIMED;1;47;50;25,94;0,05;3,85;25,94
Python;SERVIMED;'7896422505680;SECNIDAZOL 1000 MG 2 CP G;2024-12-13 09:11:28;RJ;SERVIMED;1;1408;77;20,77;0,5892000000000001;1,02;8,67
Python;SERVIMED;'7891058059149;PLASIL 10 MG 20 CP R;2024-12-13 09:11:28;RJ;SERVIMED;0;0;120;11,15;0,05;1,55;11,05
Python;SERVIMED;'7896422504478;NEOMICINA SULF+BACITRACINA POM 50 GR G;2024-12-13 09:11:28;RJ;SERVIMED;0;0;90;24,22;0,51;1,42;12,06
Python;SERVIMED;'7897930776722;LOCERYL ESM TERAPEUTICO 2,5 ML R;2024-12-13 09:11:28;RJ;SERVIMED;1;87;24;174,96;0,0;25,48;182,35
Python;SERVIMED;'7896422505369;CLOBETASOL PROP CREM 30 GR G;2024-12-13 09:11:28;RJ;SERVIMED;0;0;90;16,46;0,5889;0,88;6,95
Python;SERVIMED;'7896006214007;ANDRIODERMOL SOL TOP 50 ML S;2024-12-13 09:11:28;RJ;SERVIMED;0;0;42;19,79;0,0;2,89;20,630000000000003
Python;SERVIMED;'7896422504454;NEOMICINA SULF+BACITRACINA POM 15 GR G;2024-12-13 09:11:28;RJ;SERVIMED;0;0;90;11,25;0,51;0,66;5,6000000000000005
Python;SERVIMED;'7896261005587;FORASEQ 12/400 MCG 60 + 60 CAPS C/INAL R;2024-12-13 09:11:28;RJ;SERVIMED;0;0;12;135,73;0,0;21,19;142,89000000000001
Python;SERVIMED;'7898074617803;SPIDUFEN 600 MG 10 ENV R;2024-12-13 09:11:28;RJ;SERVIMED;0;0;96;40,08;0,02;6,140000000000001;41,36
Python;SERVIMED;'7896422504362;OMEPRAZOL 20 MG 14 CAPS G;2024-12-13 09:11:28;RJ;SERVIMED;0;0;77;23,94;0,02;3,0300000000000002;24,07
Python;SERVIMED;'7891058021955;URBANIL 20 MG 20 CP *T;2024-12-13 09:11:28;RJ;SERVIMED;0;0;200;26,46;0,05;3,93;26,47
Python;SERVIMED;'7897595901439;ATLANSIL 100 MG 20 CP R;2024-12-13 09:11:28;RJ;SERVIMED;1;25;120;18,990000000000002;0,05;2,82;19,0
Python;SERVIMED;'7896241270363;DRENISON CREM 30 GR S;2024-12-13 09:11:28;RJ;SERVIMED;1;138;60;36,980000000000004;0,05;5,12;36,62
Python;SERVIMED;'7891317002695;ACEBROFILINA XPE ADU 120ML G;2024-12-13 09:11:28;RJ;SERVIMED;1;7198;40;32,27;0,55;1,8800000000000001;14,9
Python;SERVIMED;'7896241293751;VASOPRIL PLUS 10/25 MG 30 CP S;2024-12-13 09:11:28;RJ;SERVIMED;1;18;48;48,34;0,05;7,17;48,34
Python;SERVIMED;'7896006201977;TRIQUILAR 21 DR R;2024-12-13 09:11:28;RJ;SERVIMED;0;0;100;9,950000000000001;0,1;1,4000000000000001;9,43
Python;SERVIMED;'7896094201002;CALTREN 20 MG 30 CP S;2024-12-13 09:11:28;RJ;SERVIMED;0;0;40;119,98;0,03;18,17;122,52000000000001
