Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;NAZARIA;'7891800637700;TOALHA CREMER CAPUZ BABY SHARK 1,20MX70CM;2024-11-25 12:03:33;PB;NAZARIA;1;;12;57,1;0,0;;57,1
Python;NAZARIA;'7891800359589;TOALHA FRALDA BRANCA PINTE BORDE 3UN;2024-11-25 12:03:34;PB;NAZARIA;1;;12;28,35;0,0;;28,35
Python;NAZARIA;'7891800332865;TOALHA LUXO CREMER BRANCA 3UN;2024-11-25 12:03:34;PB;NAZARIA;1;;12;29,23;0,0;;29,23
Python;NAZARIA;'7908032300415;TOALHA PIQUITUCHO PREMIUM L4P3 240UN;2024-11-25 12:03:35;PB;NAZARIA;1;;6;22,15;0,23120000000000002;;17,03
Python;NAZARIA;'7898936110565;TOALHA UMED HIGIENE ADULTO FEELCLEAN 40UN;2024-11-25 12:03:36;PB;NAZARIA;1;;24;8,77;0,0;;8,77
Python;NAZARIA;'7896018751019;TOALHA UMED HUG GERANDO FALCOES 88UN;2024-11-25 12:03:37;PB;NAZARIA;1;;12;11,93;0,11;;10,62
Python;NAZARIA;'7896018700659;TOALHA UMED HUG MAX CLEAN 48UN;2024-11-25 12:03:38;PB;NAZARIA;1;;24;12,73;0,11;;11,33
Python;NAZARIA;'7896018703070;TOALHA UMED HUG MAX CLEAN 96UN;2024-11-25 12:03:39;PB;NAZARIA;1;;12;21,22;0,09;;19,31
Python;NAZARIA;'7896018703629;TOALHA UMED HUG MAX CLEAN L4P3 48UN;2024-11-25 12:03:40;PB;NAZARIA;1;;6;38,19;0,09;;34,75
Python;NAZARIA;'7896018703636;TOALHA UMED HUG ONE&DONE 48UN;2024-11-25 12:03:41;PB;NAZARIA;1;;24;10,44;0,11;;9,29
Python;NAZARIA;'7896018704015;TOALHA UMED HUG ONE&DONE L4P3 48UN;2024-11-25 12:03:42;PB;NAZARIA;1;;6;31,31;0,09;;28,49
Python;NAZARIA;'7896007547913;TOALHA UMED HUG PURO E NAT 48UN;2024-11-25 12:03:43;PB;NAZARIA;1;;24;12,73;0,11;;11,33
Python;NAZARIA;'7896018704022;TOALHA UMED HUG PURO E NAT L4P3 48UN;2024-11-25 12:03:44;PB;NAZARIA;1;;6;38,19;0,09;;34,75
Python;NAZARIA;'7896018700604;TOALHA UMED HUG SUPREME CARE 48UN;2024-11-25 12:03:45;PB;NAZARIA;1;;24;12,73;0,11;;11,33
Python;NAZARIA;'7908032300576;TOALHA UMED PIQUITUCHO HIDRAT 40UN;2024-11-25 12:03:46;PB;NAZARIA;1;;24;3,9;0,1151;;3,45
Python;NAZARIA;'7908032300583;TOALHA UMED PIQUITUCHO HIDRAT 80UN;2024-11-25 12:03:47;PB;NAZARIA;1;;24;7,4;0,2005;;5,92
Python;NAZARIA;'7898936111302;TOALHA UMED PIQUITUCHO PRATIC 48UN;2024-11-25 12:03:48;PB;NAZARIA;1;;48;4,68;0,18739999999999998;;3,8
