;Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
8926;Python;NAZARIA;'7891338701300;ONETOUCH TIRA REAG KIT 50+50 GRT 25TIRA;2025-05-08 21:02:08;RN;NAZARIA;0;0;20;145,68;0,0;0,0;145,68
8927;Python;NAZARIA;'7899026463974;SHP FRUCTIS HYDRA CACHOS   200ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;5,63;0,0;0,0;5,63
8928;Python;NAZARIA;'3337875894104;HIDRAT MINERAL 89 SORBET GEL VCY VICHY 50ML ;2025-05-08 21:02:08;RN;NAZARIA;1;44;45;117,01;0,0;0,0;117,01
8929;Python;NAZARIA;'70341368442;KIT PRINCIPIA TRIO ANTIACNE NC-10+MIX-01+AM10;2025-05-08 21:02:08;RN;NAZARIA;1;48;24;138,28;0,0;0,0;138,28
8930;Python;NAZARIA;'7613427030814;ONETOUCH ULTRA PLUS 25 TIRAS;2025-05-08 21:02:08;RN;NAZARIA;0;0;155;36,51;0,0;0,0;36,51
8931;Python;NAZARIA;'7890704857634;PROT SOLAR NSUN SPR FPS15 115ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;15,97;0,0;0,0;15,97
8932;Python;NAZARIA;'7896044998624;GEL HIGIE PHYTOERVAS CLOROF E MENTA 500ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;5;16,57;0,0;0,0;16,57
8933;Python;NAZARIA;'353885009904;ONE TOUCH LANCETAS DELICA C/25 OT;2025-05-08 21:02:08;RN;NAZARIA;0;0;240;14,86;0,0;0,0;14,86
8934;Python;NAZARIA;'7896094931428;DORII PRO 550MG 10CPR;2025-05-08 21:02:08;RN;NAZARIA;1;68;60;20,78;0,0;0,0;20,78
8935;Python;NAZARIA;'7896004792057;NITAZOXANIDA 20MG SUSP PO 100ML (E3S-G);2025-05-08 21:02:08;RN;NAZARIA;1;3;25;40,56;0,43729999999999997;0,0;22,82
8936;Python;NAZARIA;'7896015591632;VITANOL-A CREAM 5% 30G;2025-05-08 21:02:08;RN;NAZARIA;0;0;56;47,81;0,0;0,0;47,81
8937;Python;NAZARIA;'7897930761148;CLOB-X EMULSAO 59ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;30;50,83;0,0;0,0;50,83
8938;Python;NAZARIA;'7898430194443;MITRIP 25MG 60CPR C1;2025-05-08 21:02:08;RN;NAZARIA;0;0;50;47,25;0,0;0,0;47,25
8939;Python;NAZARIA;'7897322700649;M M EXPECTORANTE XPE 120ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;19,37;0,0;0,0;19,37
8940;Python;NAZARIA;'7899572805808;MASC HIDRAT LOLA BEMDIT GHEE BAN 100G;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;13,43;0,0;0,0;13,43
8941;Python;NAZARIA;'7891150094895;CR TRAT DOVE NUTRICAO 270G;2025-05-08 21:02:08;RN;NAZARIA;1;735;6;37,81;0,0;0,0;37,81
8942;Python;NAZARIA;'8429420223349;ISDINCEUTICS H MOISITURE OILY SKIN 50G;2025-05-08 21:02:08;RN;NAZARIA;1;8;24;124,96;0,0;0,0;124,96
8943;Python;NAZARIA;'7896013502043;COLOR FLEURY ESPEC 5.5 ACAJU;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;3,73;0,0;0,0;3,73
8944;Python;NAZARIA;'7896018750869;SHP HUG NUTRIAAO E FORAA RAPUNZEL 360ML;2025-05-08 21:02:08;RN;NAZARIA;1;51;12;13,03;0,05;0,0;12,38
8945;Python;NAZARIA;'7896770979256;ROUPA INT TENA PANTS ULTRA P/M L18P15;2025-05-08 21:02:08;RN;NAZARIA;0;0;4;55,27;0,0;0,0;55,27
8946;Python;NAZARIA;'7500435121736;AP BARB PRESTO3 SEN T4P3 1UN;2025-05-08 21:02:08;RN;NAZARIA;1;205;36;26,69;0,0;0,0;26,69
8947;Python;NAZARIA;'8903855061207;ROSUCOR 5MG 30CPR;2025-05-08 21:02:08;RN;NAZARIA;1;5;6;25,34;0,04;0,0;24,33
8948;Python;NAZARIA;'7896004700458;AMOXICILINA SUSP 250MG/150ML (E3S-G)*;2025-05-08 21:02:08;RN;NAZARIA;1;40;25;25,69;0,5751;0,0;10,92
8949;Python;NAZARIA;'7898095347833;BETA+SULFGEN+TO CR 20GR (G);2025-05-08 21:02:08;RN;NAZARIA;0;0;144;19,51;0,0;0,0;19,51
8950;Python;NAZARIA;'7896094211445;SUMAX 25MG 6CPR;2025-05-08 21:02:08;RN;NAZARIA;1;222;25;28,17;0,03;0,0;27,32
8951;Python;NAZARIA;'7896012801895;FRALDA GER BIGFRAL DERM PLUS NOTURNA G 7UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;8;31,16;0,0;0,0;31,16
8952;Python;NAZARIA;'7891150091207;SHP TRESEMME BRILHO LAMELAR 650ML;2025-05-08 21:02:08;RN;NAZARIA;1;162;12;29,2;0,0;0,0;29,2
8953;Python;NAZARIA;'7891058022181;PHARMATON 50+ 60CAP;2025-05-08 21:02:08;RN;NAZARIA;0;0;60;144,44;0,0;0,0;144,44
8954;Python;NAZARIA;'7896108560385;PROT SOLAR KIDS C&B FPS70 110ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;23,96;0,0;0,0;23,96
8955;Python;NAZARIA;'7896185998316;URBANIL 10MG 20CPR B1;2025-05-08 21:02:08;RN;NAZARIA;0;0;200;9,96;0,0;0,0;9,96
8956;Python;NAZARIA;'7896013544517;COLOR CR MAXTON ECON 1.0 PRETO;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;7,22;0,0;0,0;7,22
8957;Python;NAZARIA;'7897322700304;DESCON GTS 20ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;30,91;0,0;0,0;30,91
8958;Python;NAZARIA;'7896212420117;CONCERTA 36MG 30CPR A3;2025-05-08 21:02:08;RN;NAZARIA;1;9;24;326,7;0,0;0,0;326,7
8959;Python;NAZARIA;'7894916503402;SOMALGIN CARDIO 81MG 32CPR REV;2025-05-08 21:02:08;RN;NAZARIA;0;0;48;13,16;0,0;0,0;13,16
8960;Python;NAZARIA;'7896422505550;SIMETICONA 40MG 20CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;77;8,77;0,0;0,0;8,77
8961;Python;NAZARIA;'7897337709019;PROPECIA 1MG 30CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;96;163,42;0,0;0,0;163,42
8962;Python;NAZARIA;'7896269900341;ZINNAT SUSP 250MG 50ML *;2025-05-08 21:02:08;RN;NAZARIA;0;0;20;150,94;0,0;0,0;150,94
8963;Python;NAZARIA;'7897595902146;STILNOX 10MG 20CPR B1;2025-05-08 21:02:08;RN;NAZARIA;0;0;200;82,01;0,0;0,0;82,01
8964;Python;NAZARIA;'7891150055131;DEO REXONA AER AP IMPAC 90G/150ML+20%D;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;10,09;0,0;0,0;10,09
8965;Python;NAZARIA;'7891010248260;NEOS MINESOL OC SERUM FPS3040G;2025-05-08 21:02:08;RN;NAZARIA;1;12;6;79,24;0,0;0,0;79,24
8966;Python;NAZARIA;'7891035010682;SAB DETTOL KIT ORIGINAL 80GR   P2L3;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;2,15;0,0;0,0;2,15
8967;Python;NAZARIA;'7891317471323;TEINA 10MG 30CAP GEL MOLE;2025-05-08 21:02:08;RN;NAZARIA;0;0;96;165,55;0,04;0,0;158,93
8968;Python;NAZARIA;'3337875533768;MASC MINERAL VCY DUO PEEL 2X6MLA ;2025-05-08 21:02:08;RN;NAZARIA;0;0;36;51,88;0,0;0,0;51,88
8969;Python;NAZARIA;'7896070600911;FLAGYL GINEC GEL 50G+10APL*;2025-05-08 21:02:08;RN;NAZARIA;0;0;56;51,84;0,0;0,0;51,84
8970;Python;NAZARIA;'7896181914419;MEBENDAZOL 20MG/ML SUSP 30ML (A4H-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;50;6,78;0,0;0,0;6,78
8971;Python;NAZARIA;'7896015519797;ALTARGO 1%  5GR;2025-05-08 21:02:08;RN;NAZARIA;0;0;200;36,14;0,0;0,0;36,14
8972;Python;NAZARIA;'7896006226208;BRITENS SOL OFT 5ML;2025-05-08 21:02:08;RN;NAZARIA;1;401;128;94,04;0,0;0,0;94,04
8973;Python;NAZARIA;'7896512930293;COND TERRAP LAVANDA 180ML;2025-05-08 21:02:08;RN;NAZARIA;1;4;6;20,97;0,08;0,0;19,29
8974;Python;NAZARIA;'7896658040634;TOLREST 50MG 60CPR C1;2025-05-08 21:02:08;RN;NAZARIA;0;0;36;109,48;0,0;0,0;109,48
8975;Python;NAZARIA;'7896641800030;ALBOCRESIL SOL 12ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;120;29,31;0,0;0,0;29,31
