Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7897129304248;HIDRATANTE CORPORAL THERASKIN KLAVIE CLINICAL 190ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;18;51,98537095088819;0,0;12,040000000000001;64,03
Python;SERVIMED;'7891317124489;MOXIFLOXACINO CLOR 400 MG 7 CP GA;2025-01-03 16:00:08;PR;SERVIMED;1;421;90;161,71;0,57;14,85;78,46
Python;SERVIMED;'4005808174478;CREME FACIAL NIVEA Q10 PLUS C ANTISSINAIS DIA PELE MISTA A OLEOSA 52G;2025-01-03 16:00:08;PR;SERVIMED;1;158;12;33,0338266384778;0,0;10,620000000000001;43,650000000000006
Python;SERVIMED;'7896637030014;TRATURIL 5,631GR 2 ENV S;2025-01-03 16:00:08;PR;SERVIMED;1;36;64;93,78;0,042;10,5;92,69
Python;SERVIMED;'7894916513029;IMENSE 100MG 60CP *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;40;184,42000000000002;0,0;12,36;181,07
Python;SERVIMED;'7898146821848;CARBONATO DE LITIO 300MG 50CP *G;2025-01-03 16:00:08;PR;SERVIMED;0;0;20;24,68;0,05;3,75;25,2
Python;SERVIMED;'7891721277450;ANLODIPINO BESILATO 10 MG 30 CP G;2025-01-03 16:00:08;PR;SERVIMED;0;0;98;53,14;0,82;1,53;10,28
Python;SERVIMED;'7898146820759;CITALOPRAM 20 MG 28 CP *G;2025-01-03 16:00:08;PR;SERVIMED;1;436;48;58,03;0,92;5,87;10,120000000000001
Python;SERVIMED;'7891150060685;SHAMPOO SEDA BABOSA + OLEOS 325ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;8,55614973262032;0,0;1,3900000000000001;9,950000000000001
Python;SERVIMED;'7891317488727;LEG 0,5MG/ML XPE 100ML S;2025-01-03 16:00:08;PR;SERVIMED;1;37;32;55,89;0,06;7,0600000000000005;55,120000000000005
Python;SERVIMED;'7898146821640;SUMATRIPTANA SUC 100 MG 2 CP G;2025-01-03 16:00:08;PR;SERVIMED;1;26;48;42,49;0,39;4,43;28,14
Python;SERVIMED;'7894916513135;BRAMICAR HTC 80/12,5 MG 60CP S;2025-01-03 16:00:08;PR;SERVIMED;1;120;40;119,69;0,0;18,580000000000002;128,07000000000002
Python;SERVIMED;'7891150054455;SHAMPOO DOVE NUTRITIVE SOLUTIONS HIDRATACAO INTENSA 400ML;2025-01-03 16:00:08;PR;SERVIMED;1;414;12;16,71122994652406;0,0;2,72;19,43
Python;SERVIMED;'7898586630314;RESTIVA 5 MG 2 ADES *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;120;114,55;0,03;11,27;112,92
Python;SERVIMED;'7896014123902;CONDICIONADOR ELSEVE COLOR VIVE 200ML;2025-01-03 16:00:08;PR;SERVIMED;1;4089;12;11,33658008658008;0,0;3,23;14,57
Python;SERVIMED;'7891176117509;SABONETE EM BARRA FRANCIS AROMACHOLOGIE FLOR DE ACACIA 90G 12UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;9;19,02406417112299;0,0;2,93;21,95
Python;SERVIMED;'7896658029240;REGRESSA 16MG 30 CAPS *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;24;159,17000000000002;0,05;14,4;152,73000000000002
Python;SERVIMED;'7898944109544;PROTETOR SOLAR COPPERTONE KIDS FPS 50 125ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;35,65508021390374;0,0;8,6;44,260000000000005
Python;SERVIMED;'7896637023795;LEVOXIN 750 MG 7CP TA;2025-01-03 16:00:08;PR;SERVIMED;1;56;64;63,480000000000004;0,042;7,29;62,92
Python;SERVIMED;'7896094915404;ATROVERAN DIP 1G DISP 200 CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;267,98;0,0;40,09;285,24
Python;SERVIMED;'7898430191879;LAXANTE PEG-LAX 17G SABOR LIMAO COM 14 ENVELOPES;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;39,8663101604278;0,0;5,97;42,44
Python;SERVIMED;'7896094915893;NOVOTRAM 50 MG 20 CPS *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;30;92,22;0,0;9,4;93,76
Python;SERVIMED;'7896224410335;ALGODAO APOLO MULTIUSO SANFONADO 100G;2025-01-03 16:00:08;PR;SERVIMED;1;568;60;6,3719103367602195;0,0;1,36;7,73
Python;SERVIMED;'7898040326524;MARESIS AR SPRAY 150ML T;2025-01-03 16:00:08;PR;SERVIMED;1;38;24;61,64;0,04;7,75;61,88
Python;SERVIMED;'7500435106412;CONDICIONADOR PANTENE 3 MINUTOS HIDRO CAUTERIZACAO 170ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;19,31818181818181;0,0;5,49;24,810000000000002
Python;SERVIMED;'7898146825358;QUETIAPINA HEMIFUMARATO 100 MG 30 CP *G;2025-01-03 16:00:08;PR;SERVIMED;1;10;20;115,25;0,8;13,55;34,64
Python;SERVIMED;'7891024042069;SABONETE LIQUIDO PALMOLIVE NATUREZA SECRETA PITAYA 250ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;9,182736455463731;0,0;1,6300000000000001;10,81
Python;SERVIMED;'7897076917744;ROSUVASTATINA CALCICA 10 MG 30 CP G;2025-01-03 16:00:08;PR;SERVIMED;1;42;224;56,77;0,65;3,94;22,12
Python;SERVIMED;'17899026415345;ESMALTE COLORAMA CREMOSO CEREJA 8ML S/B 6UN;2025-01-03 16:00:08;PR;SERVIMED;1;721;12;21,19859307359307;0,0;6,09;27,29
Python;SERVIMED;'20800600347;ABSORVENTE INTERNO TAMPAX SUPER PLUS 10UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;14,20168221216396;0,0;3,17;17,37
Python;SERVIMED;'7896112400592;MIND 20 MG 30 CP *S;2025-01-03 16:00:08;PR;SERVIMED;1;98;100;155,68;0,05;23,64;158,94
Python;SERVIMED;'7898040325725;UNITRAM 20 MG 30 CP *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;50;110,44;0,04;11,75;108,74000000000001
Python;SERVIMED;'7891350033472;TINTURA BIOCOLOR 5.0 CASTANHO CLARO LUXUOSO;2025-01-03 16:00:08;PR;SERVIMED;1;852;12;7,629870129870129;0,0;1,9100000000000001;9,54
Python;SERVIMED;'7896006215929;RISPERIDONA 2 MG 30 CP *G;2025-01-03 16:00:08;PR;SERVIMED;1;174;198;47,04;0,79;7,42;16,46
Python;SERVIMED;'7896094915992;NOVOTRAM 100 MG/ML GTS 10 ML *S;2025-01-03 16:00:08;PR;SERVIMED;1;10;30;80,26;0,0;8,65;82,07000000000001
Python;SERVIMED;'7897076919335;ISOTRETINOINA 20 MG 30 CAPS *G;2025-01-03 16:00:08;PR;SERVIMED;1;363;160;133,23;0,81;14,48;37,64
Python;SERVIMED;'7500435127288;ABSORVENTE ALWAYS P SECA COM ABAS 32 UNIDADES;2025-01-03 16:00:08;PR;SERVIMED;0;0;8;11,90336100223584;0,0;2,73;14,63
Python;SERVIMED;'7896422500500;QUETIAPINA HEMIFUMARATO 25MG 30 CP *G;2025-01-03 16:00:08;PR;SERVIMED;0;0;77;62,25;0,5345;4,18;30,69
Python;SERVIMED;'7897411602359;LATUDA 40 MG 30 CP *S;2025-01-03 16:00:08;PR;SERVIMED;1;22;35;351,66;0,06;32,160000000000004;334,56000000000006
Python;SERVIMED;'4005900602220;SABONETE EM GEL NIVEA MICELLAIR AGUA DE ROSAS 150ML;2025-01-03 16:00:08;PR;SERVIMED;1;30;12;23,71108504209852;0,0;4,2;27,91
Python;SERVIMED;'7891721201233;RISPERIDONA 2 MG 30 CP *G;2025-01-03 16:00:08;PR;SERVIMED;1;166;108;72,86;0,74;3,0300000000000002;20,360000000000003
Python;SERVIMED;'7898037081252;BESOMED 250 MG 60 CP T;2025-01-03 16:00:08;PR;SERVIMED;1;45;84;37,19;0,06;5,75;37,730000000000004
Python;SERVIMED;'5702150143006;LEXAPRO 20 MG 30 CP *R;2025-01-03 16:00:08;PR;SERVIMED;0;0;162;359,23;0,03;36,410000000000004;355,17
Python;SERVIMED;'7896006209195;SIMETICONA GTS 15 ML T;2025-01-03 16:00:08;PR;SERVIMED;0;0;90;13,97;0,72;1,93;5,51
Python;SERVIMED;'7894916508933;BRAMICAR 40MG 30CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;56;69,27;0,0;8,91;72,28
Python;SERVIMED;'7896112400684;NEBILET 5 MG 30 CP R;2025-01-03 16:00:08;PR;SERVIMED;1;46;48;121,0;0,05;10,58;115,74
Python;SERVIMED;'7891106908870;REGENERADOR LABIAL BEPANTOL DERMA 7,5ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;84;27,33630006357279;0,0;8,790000000000001;36,13
Python;SERVIMED;'7891317016012;TRIAXIN 1GR INJ IM 5FA+DIL 3,5ML SA;2025-01-03 16:00:08;PR;SERVIMED;1;12;16;167,39000000000001;0,07100000000000001;18,2;160,45999999999998
Python;SERVIMED;'7891150059887;SABONETE EM BARRA LUX BOTANICALS LAVANDA 85G 12UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;9;20,427489177489168;0,0;3,15;23,58
Python;SERVIMED;'7898623951976;CREME PARA TRATAMENTO SALON LINE MEU LISO PLATINA 300G;2025-01-03 16:00:08;PR;SERVIMED;0;0;6;16,101928374655643;0,0;4,58;20,68
Python;SERVIMED;'7898623951723;ATIVADOR DE CACHOS SALON LINE S.O.S CACHOS RICINO E QUERATINA 300ML;2025-01-03 16:00:08;PR;SERVIMED;1;230;6;14,733449312888558;0,0;4,19;18,92
Python;SERVIMED;'7898919412372;HIDRATANTE CORPORAL MONANGE PELE EXTRASSECA 200ML;2025-01-03 16:00:08;PR;SERVIMED;1;2546;24;6,35822510822511;0,0;1,25;7,61
Python;SERVIMED;'7896094915527;FLUVIRAL DIA DISP 100 CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;225,6;0,0;33,75;240,13
Python;SERVIMED;'7896261020542;ANAFRANIL 25 MG 30 DR *R;2025-01-03 16:00:08;PR;SERVIMED;0;0;100;66,16;0,02;6,84;66,15
Python;SERVIMED;'17500435132364;FRALDA PAMPERS PREMIUM CARE TAMANHO M 4X34UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;1;235,255447032307;0,0;39,4;274,65999999999997
Python;SERVIMED;'7891150059924;SABONETE EM BARRA LUX BOTANICALS FLOR DE LOTUS 85G 12UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;9;20,427489177489168;0,0;3,15;23,58
Python;SERVIMED;'7896094210240;STANGLIT 30 MG 60 CP R;2025-01-03 16:00:08;PR;SERVIMED;0;0;24;140,72;0,0;14,06;142,79
Python;SERVIMED;'7897316806623;TRIPLENEX SOL OFT 5ML R;2025-01-03 16:00:08;PR;SERVIMED;0;0;100;191,07;0,07;19,09;181,65
Python;SERVIMED;'7891721201660;GLIVANCE XR 500/30MG 60CP T;2025-01-03 16:00:08;PR;SERVIMED;0;0;40;87,56;0,06;8,870000000000001;84,16000000000001
Python;SERVIMED;'7896026170468;DROXAINE SUS OR 120ML;2025-01-03 16:00:08;PR;SERVIMED;1;33;24;20,650000000000002;0,05;2,6;20,55
Python;SERVIMED;'7896112427773;ARADOIS H 100/25 MG 90 CP S;2025-01-03 16:00:08;PR;SERVIMED;1;31;18;169,57;0,05;16,57;163,94
Python;SERVIMED;'7898496351866;SECADOR GA.MA ITALY AURA TITANIUM 127V;2025-01-03 16:00:08;PR;SERVIMED;0;0;4;171,504952944762;0,0;33,53;205,03
Python;SERVIMED;'7896094210158;PLENANCE 5 MG 30 CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;20;31,91;0,0;3,5100000000000002;32,7
Python;SERVIMED;'7898146824450;CLOPIDOGREL 75 MG 30 CP G;2025-01-03 16:00:08;PR;SERVIMED;1;540;48;42,94;0,72;5,14;16,14
Python;SERVIMED;'7500435106382;CONDICIONADOR PANTENE 3 MINUTOS RESTAURACAO 170ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;19,31818181818181;0,0;5,49;24,810000000000002
Python;SERVIMED;'7894916513173;BUPIUM XL 150 MG 60 CP *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;40;170,61;0,0;14,46;170,53
Python;SERVIMED;'7500435127233;ABSORVENTE ALWAYS P SECA COM ABAS 16 UNIDADES;2025-01-03 16:00:08;PR;SERVIMED;0;0;12;6,03189728366104;0,0;1,3900000000000001;7,42
Python;SERVIMED;'7899420503795;NEUMOSIN 400 MG 5 CP SA;2025-01-03 16:00:08;PR;SERVIMED;1;30;50;121,71000000000001;0,061000000000000006;18,27;122,82
Python;SERVIMED;'4005900521934;SABONETE EM BARRA NIVEA ERVA DOCE E OLEOS 85G 12UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;8;25,427807486631007;0,0;3,92;29,35
Python;SERVIMED;'7897076913111;VALACICLOVIR CLOR 500MG 42 CP G;2025-01-03 16:00:08;PR;SERVIMED;0;0;84;449,98;0,41;42,43;285,3
Python;SERVIMED;'7898040322328;GINESSE 63 CP S;2025-01-03 16:00:08;PR;SERVIMED;1;51;48;64,1;0,04;0,0;56,29
Python;SERVIMED;'7891317001513;ACICLOVIR 200 MG 25 CP G;2025-01-03 16:00:08;PR;SERVIMED;1;1185;50;81,18;0,57;7,96;39,89
Python;SERVIMED;'7899026456051;MASCARA PARA CILIOS MAYBELLINE COLOSSAL PROVA D'AGUA PRETO;2025-01-03 16:00:08;PR;SERVIMED;1;1471;12;30,31655844155844;0,0;9,96;40,28
Python;SERVIMED;'7897595620620;ROSUVASTATINA CALCICA 10 MG 60 CP G;2025-01-03 16:00:08;PR;SERVIMED;0;0;90;55,980000000000004;0,77;8,22;20,0
Python;SERVIMED;'7891150054462;SHAMPOO DOVE NUTRITIVE SOLUTIONS HIDRATACAO INTENSA 200ML;2025-01-03 16:00:08;PR;SERVIMED;1;115;12;10,427807486631009;0,0;1,7;12,129999999999999
Python;SERVIMED;'17500435132739;FRALDA PAMPERS SUPERSEC TAMANHO G 8X26UN;2025-01-03 16:00:08;PR;SERVIMED;0;0;1;229,338842975207;0,0;38,410000000000004;267,75
Python;SERVIMED;'7899420506772;ANDES 50 MG 30 CP LIB PROL *S;2025-01-03 16:00:08;PR;SERVIMED;1;42;100;61,83;0,061000000000000006;7,0200000000000005;60,13
Python;SERVIMED;'7896676432602;TRAMADON RETARD 100 MG 10 CP *S;2025-01-03 16:00:08;PR;SERVIMED;1;167;50;67,09;0,09;8,34;64,19
Python;SERVIMED;'7898146826164;KITAPEN 25MG 30CP *S;2025-01-03 16:00:08;PR;SERVIMED;0;0;48;52,28;0,05;7,43;52,86
Python;SERVIMED;'7898524349261;ATIVADOR DE CACHOS INFANTIL SALON LINE TO DE CACHINHO KIDS 300ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;6;12,05357142857142;0,0;3,43;15,48
Python;SERVIMED;'7891350033441;TINTURA BIOCOLOR 4.0 CASTANHO MALICIA;2025-01-03 16:00:08;PR;SERVIMED;1;973;12;7,629870129870129;0,0;1,9100000000000001;9,54
Python;SERVIMED;'7898623952737;CREME PARA PENTEAR SALON LINE S.O.S CACHOS MEL 300ML;2025-01-03 16:00:08;PR;SERVIMED;0;0;6;12,36699645323875;0,0;3,52;15,89
Python;SERVIMED;'17899026414522;ESMALTE COLORAMA CREMOSO BONECA 8ML S/B 6UN;2025-01-03 16:00:08;PR;SERVIMED;1;539;12;21,19859307359307;0,0;6,09;27,29
Python;SERVIMED;'7891317003494;DESLORATADINA XPE 100 ML G;2025-01-03 16:00:08;PR;SERVIMED;1;1276;32;46,87;0,57;6,75;25,19
Python;SERVIMED;'7894916512510;CONCARDIO 2,5MG 100 CP S;2025-01-03 16:00:08;PR;SERVIMED;1;1;56;170,01;0,0;15,05;170,58
Python;SERVIMED;'7896094915381;ATROVERAN DIP 1G 20 CP S;2025-01-03 16:00:08;PR;SERVIMED;0;0;24;20,93;0,2;2,92;18,240000000000002
